ticker,granger_p,garch_beta
AAPL,0.23918838136642226,0.28318604759762034
AMZN,0.10549958907172359,0.8281754382234098
GOOG,0.000208529322318893,0.6090345188360798
META,1.3918008006955711e-13,1.0
MSFT,1.0946867367020278e-12,0.7793033010835988
NVDA,0.01313388996647319,0.8265888530557282
TSLA,0.47856998742552537,0.9766713245906348
