ticker,corr_lag0,adf_ret_p,adf_sent_p,granger_p,garch_beta
AAPL,0.017308514418407868,4.1866336987333666e-16,6.981923567635248e-08,0.0009418355940388819,0.28318604759762034
AMZN,-0.08925645609506674,5.529145393284307e-08,2.147743413946239e-06,0.13573225664963365,0.8281754382234098
GOOG,0.40319205272913394,0.7973875832215507,1.146751500709516e-07,0.00037676647969034843,0.6090345188360798
META,0.31857664766978006,8.712499183141382e-28,3.3096303797313996e-15,0.000350123895775912,1.0
MSFT,0.20960115269761195,0.07238015754089637,0.7019171918490437,4.839338550642301e-19,0.7793033010835988
NVDA,0.07186110338766505,7.720622692652213e-23,2.448793198167647e-22,0.6116822699880973,0.8265888530557282
TSLA,0.07521562889702382,9.381404815021768e-14,2.451474212280864e-11,0.09420137856253889,0.9769326631041072
